Sector,BondCount,MarketValue_INR,PortfolioWeight,WeightedModifiedDuration,WeightedConvexity
Banking,18.0,1768793.07,0.0551724627088517,2.696618521980075,11.536036636135737
Energy,6.0,1025789.6699999999,0.03199658754610582,2.0895797830299854,6.342374409702333
Government,190.0,18452107.18,0.5755609361858731,6.0175530923769545,72.63516981432566
Infrastructure,28.0,2785416.0,0.08688311990539337,1.4940020734515058,4.0281518363407836
NBFC,53.0,7208368.0,0.22484451201048627,1.5122885259584415,4.049482505831417
Steel,5.0,818872.05,0.02554238164328965,2.121467154524324,6.081837992549628
