Scenario,YieldChange,PortfolioPnL_INR,PortfolioPnL_Pct,StressedPortfolioValue_INR
Up 50 bps,0.005,-656090.4535818807,-2.0464873307017144,31403255.51641812
Down 50 bps,-0.005,691404.7842842094,2.1566403286305387,32750750.75428421
Up 100 bps,0.01,-1276866.576461433,-3.9828216634746054,30782479.39353857
Down 100 bps,-0.01,1418123.899270747,4.423433655189901,33477469.86927075
Up 200 bps,0.02,-2412475.8301135516,-7.5250313352339155,29646870.13988645
Down 200 bps,-0.02,2977505.121350808,9.287479302095095,35036851.09135081
